Date,Type,SMP
20101018,최대,129.86
20101019,최대,138.09
20101020,최대,130.06
20101021,최대,137.55
20101022,최대,139.94
20101023,최대,156.55
20101024,최대,155.77
20101025,최대,152.77
20101026,최대,176.59
20101027,최대,126.3
20101028,최대,150.46
20101029,최대,139.94
20101030,최대,106.81
20101031,최대,106.99
20101101,최대,150.33
20101102,최대,120.65
20101103,최대,120.32
20101104,최대,119.87
20101105,최대,118.77
20101106,최대,97.12
20101107,최대,118.19
20101108,최대,151.7
20101109,최대,145.05
20101110,최대,132.86
20101111,최대,121.47
20101112,최대,120.74
20101113,최대,146.6
20101114,최대,99.34
20101115,최대,123.4
20101116,최대,118.48
20101117,최대,124.77
20101118,최대,165.95
20101119,최대,156.2
20101120,최대,98.69
20101121,최대,148.99
20101122,최대,121.5
20101123,최대,124.06
20101124,최대,123.07
20101125,최대,124.37
20101126,최대,120.04
20101127,최대,151.71
20101128,최대,98.46
20101129,최대,151.23
20101130,최대,168.06
20101201,최대,136.11
20101202,최대,130.38
20101203,최대,191.32
20101204,최대,125.62
20101205,최대,118.52
20101206,최대,157.67
20101207,최대,188.08
20101208,최대,145.21
20101209,최대,173.49
20101210,최대,168.9
20101211,최대,134.59
20101212,최대,116.51
20101213,최대,192.76
20101214,최대,178.87
20101215,최대,185.47
20101216,최대,182.25
20101217,최대,308.54
20101218,최대,167.81
20101219,최대,176.76
20101220,최대,262.65
20101221,최대,168.99
20101222,최대,327.05
20101223,최대,180.8
20101224,최대,267.15
20101225,최대,130.83
20101226,최대,168.4
20101227,최대,182.63
20101228,최대,174.13
20101229,최대,185.95
20101230,최대,186.72
20101231,최대,143.34
20110101,최대,109.1
20110102,최대,108.06
20110103,최대,144.11
20110104,최대,181.37
20110105,최대,145.38
20110106,최대,155.28
20110107,최대,178.83
20110108,최대,159.33
20110109,최대,111.58
20110110,최대,177.38
20110111,최대,165.28
20110112,최대,173.02
20110113,최대,165.03
20110114,최대,182.59
20110115,최대,128.96
20110116,최대,123.31
20110117,최대,144.74
20110118,최대,145.35
20110119,최대,190.2
20110120,최대,152.39
20110121,최대,157.03
20110122,최대,171.43
20110123,최대,123.41
20110124,최대,144.86
20110125,최대,183.1
20110126,최대,229.33
20110127,최대,144.56
20110128,최대,181.31
20110129,최대,158.42
20110130,최대,137.88
20110131,최대,157.67
20110201,최대,191.34
20110202,최대,118.18
20110203,최대,108.05
20110204,최대,176.31
20110205,최대,109.16
20110206,최대,109.64
20110207,최대,142.47
20110208,최대,174.49
20110209,최대,177.09
20110210,최대,133.45
20110211,최대,131.37
20110212,최대,182.16
20110213,최대,127.69
20110214,최대,143.9
20110215,최대,130.86
20110216,최대,133.87
20110217,최대,135.32
20110218,최대,168.22
20110219,최대,127.3
20110220,최대,118.15
20110221,최대,173.42
20110222,최대,260.29
20110223,최대,200.27
20110224,최대,132.58
20110225,최대,132.05
20110226,최대,132.46
20110227,최대,131.79
20110228,최대,128.44
20110301,최대,199.33
20110302,최대,214.16
20110303,최대,129.29
20110304,최대,129.11
20110305,최대,127.73
20110306,최대,122.5
20110307,최대,148.67
20110308,최대,137.71
20110309,최대,133.76
20110310,최대,136.01
20110311,최대,135.66
20110312,최대,131.65
20110313,최대,171.46
20110314,최대,132.12
20110315,최대,138.42
20110316,최대,168.58
20110317,최대,134.74
20110318,최대,170.33
20110319,최대,123.0
20110320,최대,115.71
20110321,최대,206.67
20110322,최대,133.42
20110323,최대,133.63
20110324,최대,138.24
20110325,최대,134.74
20110326,최대,118.32
20110327,최대,175.35
20110328,최대,174.37
20110329,최대,128.3
20110330,최대,133.62
20110331,최대,170.49
20110401,최대,122.41
20110402,최대,116.32
20110403,최대,108.58
20110404,최대,197.35
20110405,최대,194.87
20110406,최대,129.21
20110407,최대,128.96
20110408,최대,127.8
20110409,최대,127.48
20110410,최대,112.23
20110411,최대,134.35
20110412,최대,127.88
20110413,최대,183.52
20110414,최대,128.34
20110415,최대,127.86
20110416,최대,119.33
20110417,최대,118.19
20110418,최대,131.04
20110419,최대,128.76
20110420,최대,126.98
20110421,최대,128.15
20110422,최대,187.54
20110423,최대,185.5
20110424,최대,192.15
20110425,최대,131.67
20110426,최대,131.84
20110427,최대,196.83
20110428,최대,130.04
20110429,최대,130.93
20110430,최대,191.61
20110501,최대,114.81
20110502,최대,135.96
20110503,최대,138.6
20110504,최대,235.87
20110505,최대,220.39
20110506,최대,204.39
20110507,최대,116.05
20110508,최대,202.68
20110509,최대,125.31
20110510,최대,203.12
20110511,최대,222.96
20110512,최대,116.34
20110513,최대,197.25
20110514,최대,227.06
20110515,최대,114.93
20110516,최대,118.3
20110517,최대,121.99
20110518,최대,130.65
20110519,최대,128.7
20110520,최대,126.9
20110521,최대,116.69
20110522,최대,113.78
20110523,최대,123.39
20110524,최대,153.73
20110525,최대,135.0
20110526,최대,124.39
20110527,최대,121.08
20110528,최대,116.91
20110529,최대,114.14
20110530,최대,116.34
20110531,최대,127.98
20110601,최대,132.14
20110602,최대,141.23
20110603,최대,139.31
20110604,최대,124.74
20110605,최대,115.18
20110606,최대,118.11
20110607,최대,141.81
20110608,최대,141.88
20110609,최대,138.76
20110610,최대,147.52
20110611,최대,123.68
20110612,최대,114.43
20110613,최대,126.0
20110614,최대,142.02
20110615,최대,136.42
20110616,최대,142.09
20110617,최대,141.83
20110618,최대,131.66
20110619,최대,114.15
20110620,최대,130.02
20110621,최대,139.04
20110622,최대,125.93
20110623,최대,129.84
20110624,최대,147.69
20110625,최대,117.05
20110626,최대,234.2
20110627,최대,126.57
20110628,최대,161.08
20110629,최대,241.14
20110630,최대,242.77
20110701,최대,142.64
20110702,최대,127.07
20110703,최대,120.41
20110704,최대,128.81
20110705,최대,148.63
20110706,최대,140.85
20110707,최대,132.61
20110708,최대,141.08
20110709,최대,135.13
20110710,최대,123.61
20110711,최대,134.52
20110712,최대,140.82
20110713,최대,136.18
20110714,최대,136.62
20110715,최대,154.67
20110716,최대,126.69
20110717,최대,122.87
20110718,최대,142.89
20110719,최대,233.88
20110720,최대,182.75
20110721,최대,146.27
20110722,최대,148.7
20110723,최대,126.2
20110724,최대,123.09
20110725,최대,145.67
20110726,최대,146.93
20110727,최대,142.52
20110728,최대,145.02
20110729,최대,147.14
20110730,최대,123.94
20110731,최대,123.17
20110801,최대,123.2
20110802,최대,122.75
20110803,최대,123.36
20110804,최대,134.73
20110805,최대,138.21
20110806,최대,133.67
20110807,최대,122.59
20110808,최대,156.11
20110809,최대,142.17
20110810,최대,145.07
20110811,최대,150.47
20110812,최대,143.71
20110813,최대,122.18
20110814,최대,121.18
20110815,최대,123.81
20110816,최대,151.32
20110817,최대,137.68
20110818,최대,146.43
20110819,최대,140.41
20110820,최대,122.32
20110821,최대,123.01
20110822,최대,133.31
20110823,최대,149.08
20110824,최대,133.3
20110825,최대,133.78
20110826,최대,127.99
20110827,최대,123.84
20110828,최대,118.63
20110829,최대,158.5
20110830,최대,149.37
20110831,최대,143.27
20110901,최대,145.96
20110902,최대,167.3
20110903,최대,130.56
20110904,최대,121.47
20110905,최대,148.61
20110906,최대,174.3
20110907,최대,167.46
20110908,최대,145.93
20110909,최대,138.07
20110910,최대,122.77
20110911,최대,119.51
20110912,최대,78.56
20110913,최대,115.68
20110914,최대,122.55
20110915,최대,166.72
20110916,최대,202.21
20110917,최대,147.61
20110918,최대,126.86
20110919,최대,201.31
20110920,최대,200.02
20110921,최대,185.65
20110922,최대,146.17
20110923,최대,144.41
20110924,최대,206.53
20110925,최대,132.36
20110926,최대,166.61
20110927,최대,141.05
20110928,최대,141.35
20110929,최대,144.58
20110930,최대,140.42
20111001,최대,145.71
20111002,최대,120.07
