Date,gasoline1,gasoline2,diesel,kerosene
2020.08.26,1636.05,1361.09,1163.53,817.33
2020.08.27,1635.83,1361.02,1163.41,817.06
2020.08.28,1636.58,1360.88,1163.27,816.56
2020.08.29,1637.05,1360.74,1163.14,816.7
2020.08.30,1636.93,1360.78,1163.18,816.41
2020.08.31,1636.55,1360.66,1163.09,816.55
2020.09.01,1635.91,1360.37,1162.88,816.46
2020.09.02,1636.31,1360.3,1162.66,815.99
2020.09.03,1636.66,1360.33,1162.68,816.12
2020.09.04,1636.11,1360.22,1162.5,816.19
2020.09.05,1634.87,1360.18,1162.37,816.14
2020.09.06,1635.75,1360.11,1162.24,816.24
2020.09.07,1634.79,1359.89,1161.95,816.53
2020.09.08,1634.33,1359.35,1161.52,816.72
2020.09.09,1633.8,1358.5,1160.62,816.78
2020.09.10,1632.96,1357.59,1159.74,816.84
2020.09.11,1632.68,1356.76,1158.86,817.44
2020.09.12,1632.73,1356.16,1158.2,817.13
2020.09.13,1632.34,1355.88,1157.92,817.43
2020.09.14,1631.97,1355.34,1157.37,817.36
2020.09.15,1630.59,1354.26,1156.25,817.35
2020.09.16,1629.37,1352.8,1154.73,817.36
2020.09.17,1628.1,1351.53,1153.43,817.39
2020.09.18,1627.04,1350.33,1152.26,817.75
2020.09.19,1626.04,1349.55,1151.47,817.97
2020.09.20,1626.39,1349.23,1151.1,817.85
2020.09.21,1625.95,1348.45,1150.44,817.47
2020.09.22,1625.8,1347.37,1149.22,816.71
2020.09.23,1625.17,1346.26,1148.08,816.46
2020.09.24,1624.64,1345.28,1146.98,816.05
2020.09.25,1624.12,1344.43,1146.23,815.77
2020.09.26,1623.56,1343.87,1145.54,815.99
2020.09.27,1624.01,1343.59,1145.23,815.78
2020.09.28,1623.24,1343.1,1144.85,815.68
2020.09.29,1623.66,1342.21,1143.56,815.68
2020.09.30,1622.91,1341.81,1142.93,815.31
2020.10.01,1623.09,1341.59,1142.56,815.8
2020.10.02,1623.57,1341.24,1142.29,815.37
2020.10.03,1622.72,1340.62,1141.54,814.76
2020.10.04,1622.43,1340.17,1141.05,814.24
2020.10.05,1621.91,1339.39,1140.22,814.3
2020.10.06,1621.6,1338.26,1139.04,813.99
2020.10.07,1621.03,1337.44,1138.27,813.35
2020.10.08,1620.43,1336.68,1137.52,813.38
2020.10.09,1619.44,1336.07,1136.94,813.47
2020.10.10,1619.19,1335.8,1136.56,812.82
2020.10.11,1619.0,1335.61,1136.39,812.43
2020.10.12,1619.6,1335.25,1136.01,812.35
2020.10.13,1619.26,1334.67,1135.4,811.62
2020.10.14,1618.96,1334.08,1134.85,811.73
2020.10.15,1618.12,1333.55,1134.34,811.56
2020.10.16,1618.13,1332.97,1133.73,811.76
2020.10.17,1617.77,1332.52,1133.24,811.79
2020.10.18,1617.83,1332.4,1133.01,811.79
2020.10.19,1617.89,1332.0,1132.58,811.47
2020.10.20,1617.89,1331.42,1132.01,811.34
2020.10.21,1617.29,1330.73,1131.32,811.25
2020.10.22,1616.76,1330.19,1130.66,810.62
2020.10.23,1616.17,1329.67,1130.17,810.44
2020.10.24,1616.13,1329.22,1129.77,810.31
2020.10.25,1616.05,1329.04,1129.46,810.2
2020.10.26,1615.85,1328.62,1129.11,810.02
2020.10.27,1615.45,1327.99,1128.47,809.76
2020.10.28,1614.87,1327.4,1127.78,809.31
2020.10.29,1614.7,1326.72,1127.1,808.64
2020.10.30,1614.28,1325.75,1126.21,808.38
2020.10.31,1613.97,1325.11,1125.45,808.24
2020.11.01,1614.11,1324.32,1124.51,807.54
2020.11.02,1613.04,1323.37,1123.7,806.78
2020.11.03,1612.23,1322.14,1122.34,805.9
2020.11.04,1610.77,1321.08,1121.22,805.1
2020.11.05,1609.94,1320.29,1120.47,804.62
2020.11.06,1608.95,1319.71,1119.96,803.9
2020.11.07,1608.83,1319.26,1119.36,803.85
2020.11.08,1608.94,1319.1,1119.02,803.44
2020.11.09,1608.83,1318.67,1118.69,803.01
2020.11.10,1608.84,1318.14,1118.16,802.58
2020.11.11,1608.5,1317.87,1117.8,802.49
2020.11.12,1608.38,1317.69,1117.58,802.02
2020.11.13,1608.3,1317.62,1117.64,801.83
2020.11.14,1607.51,1317.55,1117.53,801.67
2020.11.15,1607.52,1317.55,1117.34,801.38
2020.11.16,1607.48,1317.49,1117.44,801.49
2020.11.17,1607.54,1317.44,1117.29,801.12
2020.11.18,1607.77,1317.11,1116.97,800.74
2020.11.19,1608.05,1317.35,1117.18,800.57
2020.11.20,1608.3,1317.62,1117.46,800.27
2020.11.21,1608.08,1317.88,1117.75,799.98
2020.11.22,1608.37,1317.96,1117.64,799.74
2020.11.23,1608.71,1318.08,1117.97,799.56
2020.11.24,1608.81,1318.35,1118.33,799.82
